,v,v_err,i,i_err,vi,vi_err,x,y
2534,18.274,0.009,17.568,0.004,0.706,0.0098,1218.325,3069.447
2535,19.288,0.011,18.519,0.01,0.769,0.0149,1234.844,3506.064
2536,18.278,0.019,17.57,0.006,0.708,0.0199,1226.184,3697.202
2537,17.463,0.005,16.704,0.004,0.759,0.0064,1226.657,3722.727
2538,19.336,0.004,18.56,0.01,0.776,0.0108,1224.324,3749.431
2539,18.726,0.006,18.001,0.008,0.725,0.01,1220.201,3816.556
2540,18.676,0.012,17.938,0.021,0.738,0.0242,1258.896,3446.292
2541,18.562,0.004,17.865,0.003,0.697,0.005,1260.425,3489.811
2542,18.778,0.013,18.051,0.01,0.727,0.0164,1253.805,3659.53
2543,18.523,0.01,17.802,0.008,0.721,0.0128,1246.159,3903.777
2544,17.258,0.0072,16.414,0.004,0.844,0.0082,1243.258,3947.406
2545,18.651,0.016,17.942,0.003,0.709,0.0163,1276.413,3031.899
2546,19.06,0.006,18.32,0.005,0.74,0.0078,1266.73,3195.107
2547,19.378,0.016,18.615,0.008,0.763,0.0179,1285.726,3343.808
2548,19.219,0.019,18.44,0.019,0.779,0.0269,1275.604,3725.47
2549,18.943,0.007,18.197,0.008,0.746,0.0106,1275.73,3815.324
2550,19.179,0.004,18.426,0.005,0.753,0.0064,1291.327,3201.066
2551,19.14,0.012,18.395,0.005,0.745,0.013,1290.673,3276.273
2552,18.649,0.004,17.928,0.003,0.721,0.005,1294.76,3358.547
2553,18.54,0.01,17.835,0.005,0.705,0.0112,1304.758,3382.097
2554,19.436,0.007,18.667,0.005,0.769,0.0086,1294.229,3551.061
2555,16.255,0.0045,15.318,0.0044,0.937,0.0063,1311.247,3670.547
2556,18.332,0.011,17.602,0.005,0.73,0.0121,1291.303,3940.907
2557,17.509,0.006,16.783,0.004,0.726,0.0072,1319.243,3028.894
2558,18.992,0.006,18.263,0.006,0.729,0.0085,1327.984,3232.726
2560,18.286,0.007,17.594,0.003,0.692,0.0076,1325.977,3613.831
2561,19.303,0.017,18.535,0.007,0.768,0.0184,1336.468,3743.245
2562,19.072,0.013,18.31,0.003,0.762,0.0133,1313.852,3928.885
2563,18.202,0.01,17.468,0.007,0.734,0.0122,1339.964,3002.576
2564,18.385,0.01,17.689,0.009,0.696,0.0135,1347.351,3067.818
2565,18.037,0.003,17.341,0.002,0.696,0.0036,1350.664,3139.625
2566,18.479,0.006,17.786,0.003,0.693,0.0067,1344.504,3220.319
2567,17.968,0.006,17.275,0.002,0.693,0.0063,1349.55,3712.207
2568,18.853,0.017,18.117,0.002,0.736,0.0171,1341.936,3788.66
