,v,v_err,i,i_err,vi,vi_err,x,y,Vbin,Ibin
28,17.27,0.009,16.687,0.01,0.583,0.0135,3395.317,961.92,50,50
29,18.477,0.001,17.918,0.012,0.559,0.012,3420.348,878.72,70,70
30,18.932,0.001,18.341,0.011,0.591,0.011,3426.557,895.711,80,80
31,17.316,0.0021,16.746,0.0022,0.57,0.003,3486.147,815.32,50,50
32,18.322,0.004,17.778,0.007,0.544,0.0081,3485.932,978.298,70,70
33,17.638,0.0024,17.114,0.0026,0.524,0.0035,3533.22,796.068,60,60
34,16.525,0.0061,15.811,0.0066,0.714,0.009,3514.347,841.091,30,30
35,19.231,0.007,18.626,0.02,0.605,0.0212,3535.521,914.07,80,80
36,17.643,0.008,17.104,0.011,0.539,0.0136,3548.209,942.08,60,60
37,17.427,0.0022,16.875,0.0023,0.552,0.0032,3579.204,732.295,50,50
38,18.981,0.0044,18.393,0.0047,0.588,0.0065,3610.015,757.622,80,80
39,18.788,0.014,18.202,0.002,0.586,0.0141,3598.494,869.702,80,80
40,17.82,0.0026,17.288,0.0028,0.532,0.0038,3626.257,734.616,60,60
41,17.649,0.0024,17.116,0.0026,0.533,0.0035,3627.829,776.511,60,60
42,18.647,0.005,18.091,0.011,0.556,0.0121,3627.341,810.615,70,70
43,18.772,0.006,18.201,0.014,0.571,0.0152,3617.365,934.897,80,80
44,19.072,0.0046,18.47,0.0049,0.602,0.0067,3649.975,734.066,80,80
45,17.905,0.0027,17.377,0.003,0.528,0.004,3650.463,742.219,60,60
46,18.245,0.016,17.701,0.026,0.544,0.0305,3649.952,873.091,70,70
47,18.392,0.003,17.849,0.014,0.543,0.0143,3652.612,929.519,70,70
48,18.746,0.004,18.186,0.0043,0.56,0.0058,3664.089,726.56,80,80
49,18.433,0.0034,17.841,0.0037,0.592,0.005,3757.121,732.328,70,70
50,18.515,0.005,17.961,0.004,0.554,0.0064,3783.121,940.868,70,70
51,17.749,0.013,17.218,0.009,0.531,0.0158,3804.114,827.23,60,60
52,18.898,0.01,18.317,0.007,0.581,0.0122,3795.38,865.18,80,80
53,17.514,0.005,16.97,0.02,0.544,0.0206,3835.118,868.854,50,60
54,18.079,0.007,17.538,0.008,0.541,0.0106,3827.446,970.5,60,70
55,18.694,0.0038,18.127,0.0042,0.567,0.0057,3861.325,747.631,70,80
56,17.701,0.013,17.19,0.017,0.511,0.0214,3858.766,861.763,60,60
57,18.819,0.015,18.221,0.033,0.598,0.0362,3857.537,862.047,80,80
58,17.318,0.009,16.747,0.008,0.571,0.012,3851.809,928.002,50,50
59,16.773,0.0016,16.089,0.007,0.684,0.0072,3879.223,914.746,40,40
60,18.615,0.0037,18.077,0.0041,0.538,0.0055,3894.72,726.195,70,70
61,17.836,0.003,17.299,0.009,0.537,0.0095,3903.253,969.357,60,60
62,18.385,0.0033,17.839,0.0036,0.546,0.0049,3930.13,670.935,70,70
63,18.662,0.005,18.099,0.021,0.563,0.0216,3931.745,794.262,70,70
64,17.567,0.004,17.021,0.005,0.546,0.0064,3946.781,745.699,60,60
65,19.014,0.007,18.427,0.002,0.587,0.0073,3950.797,886.325,80,80
66,18.776,0.024,18.186,0.025,0.59,0.0347,3949.749,906.8,80,80
