id x y Vvega err VIvega err Ivega err Vground Iground Nv  Ni wV wI xsig ysig othv othi qfitV qfitI RA Dec               
                                                                                                                        
                                                                                                                        
   134 3906.679  984.239   25.428   0.0390    1.607   0.0758   23.821   0.0650   25.878   23.816  5  4  1  1  0.060  0.036  9.900  9.900  0.708  0.619   182.5126262    18.5141696
   135 3903.800  986.798   24.718   0.0510    0.924   0.1509   23.794   0.1420   24.990   23.759  5  4  1  1  0.213  0.119  1.047  1.913  0.744  1.027   182.5126684    18.5142051
   136 3908.560  987.706   24.716   0.2420    0.894   0.6628   23.822   0.6170   24.979   23.786  5  5  1  1  0.018  0.003  2.697  4.166  0.691  0.878   182.5125987    18.5142177
   137 3906.391  982.604   26.448   0.4850    0.686   0.7793   25.762   0.6100   26.640   25.721  5  4  1  1  0.082  0.143  9.900  9.900  0.762  1.003   182.5126305    18.5141469
   138 3907.007  980.675   26.041   0.2940    1.266   0.3207   24.775   0.1280   26.412   24.753  5  4  1  1  0.007  0.005  9.900  9.365  0.862  0.923   182.5126214    18.5141201
   139 3909.516  984.632   25.269   0.1900    0.998   0.5640   24.271   0.5310   25.564   24.239  5  5  1  1  0.065  0.028  7.128  9.900  0.831  0.907   182.5125846    18.5141750
   140 3904.989  983.832   25.721   0.0770    1.351   0.1785   24.370   0.1610   26.113   24.352  4  4  1  1  0.133  0.135  9.900  9.900  0.743  0.883   182.5126510    18.5141639
   141 3905.321  978.686   25.585   0.1950    0.706   0.3894   24.879   0.3370   25.784   24.839  3  5  1  1  0.056  0.074  3.522  9.773  0.972  1.013   182.5126462    18.5140924
   142 3905.730  985.430   25.367   0.2330    1.876   0.2734   23.491   0.1430   25.870   23.502  5  4  1  1  0.097  0.042  9.900  5.946  0.674  0.705   182.5126401    18.5141861
   143 3908.721  980.814   26.087   0.3300    0.624   0.5540   25.463   0.4450   26.256   25.422  5  2  1  1  0.079  0.126  9.900  9.900  0.858  0.986   182.5125964    18.5141220
   144 3909.778  986.368   24.993   0.0860    0.696   0.4219   24.297   0.4130   25.188   24.257  5  5  1  1  0.080  0.104  3.534  9.900  0.812  0.947   182.5125808    18.5141991
   145 3903.505  979.195   25.715   0.1680    0.881   0.2744   24.834   0.2170   25.973   24.798  2  3  1  1  0.047  0.224  3.438  2.737  0.971  1.055   182.5126728    18.5140995
   146 3902.797  984.063   24.752   0.1400    0.890   0.2830   23.862   0.2460   25.012   23.826  5  4  1  1  0.138  0.095  2.281  3.017  0.725  0.911   182.5126831    18.5141671
   147 3907.310  977.305   25.770   0.1710    1.156   0.2362   24.614   0.1630   26.111   24.587  4  4  1  1  0.177  0.073  0.947  0.906  0.955  1.023   182.5126170    18.5140733
