,v,v_err,i,i_err,vi,vi_err,x,y
4782,21.175,0.014,20.713,0.003,0.4631425523371928,0.0143,2700.942,3293.216
4784,21.33,0.011,20.837,0.018,0.4967101194808912,0.0211,2695.712,3353.152
4785,21.6,0.016,21.09,0.025,0.5137101194808913,0.0297,2700.134,3352.116
4787,21.359,0.026,20.882,0.023,0.4815338614464756,0.0347,2712.513,3388.318
4791,21.549,0.006,21.055,0.022,0.49511195116489776,0.0228,2700.418,3503.287
4793,21.078,0.011,20.604,0.01,0.4750837053583782,0.0149,2698.684,3563.001
4794,21.425,0.005,20.941,0.007,0.48638639551479057,0.0086,2712.408,3549.984
4796,20.849,0.016,20.403,0.009,0.4481317739597537,0.0184,2689.289,3611.476
4798,20.361,0.006,19.921,0.005,0.442238368136481,0.0078,2703.401,3599.937
4799,20.923,0.007,20.444,0.009,0.48113177395975365,0.0114,2693.179,3635.716
4800,21.186,0.006,20.715,0.015,0.47313177395975364,0.0162,2696.73,3630.795
4801,19.133,0.005,18.517,0.011,0.6168375148914921,0.0121,2712.022,3655.466
4803,20.27,0.004,19.817,0.007,0.4513725854658618,0.0081,2707.697,3757.799
